committee_id,committee_name,report_year,report_type,image_number,line_number,file_number,payee_name,payee_first_name,payee_middle_name,payee_last_name,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,office_total_ytd,category_code,category_code_full,support_oppose_indicator,memo_code,memo_code_full,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,cand_office_state,cand_office_district,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,election_type,election_type_full,independent_sign_name,independent_sign_date,notary_sign_name,notary_sign_date,notary_commission_expiration_date,back_reference_transaction_id,back_reference_schedule_name,filer_first_name,filer_middle_name,filer_last_name,transaction_id,original_sub_id,action_code,action_code_full,schedule_type_full,filing_form,link_id,sub_id,payee_prefix,payee_suffix,is_notice,memo_text,filer_prefix,filer_suffix,schedule_type,pdf_url
C00053553,NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND,2017,48,201705049053498035,24,1161191,"I360, LLC",,,,P.O. BOX 37046,,BALTIMORE,MD,21297,PHONE BANK,2016-08-21 00:00:00,2016-08-21 00:00:00,109.65,0.00,004,Advertising Expenses ,S,,,,"BLUNT, ROY SEN.",SEN.,ROY,,BLUNT,,S,MO,,,,,,,,,G2016,,"ADKINS, MARY ROSE",2017-05-04 00:00:00,,,,,,MARY ROSE,,ADKINS,73223599,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4050420171400819096,4050420171400822079,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201705049053498035
C00580068,PROGRESSIVE TURNOUT PROJECT,2017,48,201705079053507495,24,1161412,EXXON,,,,10800 US-287 #1,,THREE FORKS,MT,,GAS CARDS,2017-05-07 00:00:00,2017-05-07 00:00:00,300.00,176851.24,,,S,,,H8MT00077,"QUIST, ROB",,ROB,,QUIST,,H,MT,00,,,,,,,,O2018,SPECIAL GENERAL,"PASCAL, HARRY",2017-05-07 00:00:00,,,,,,HARRY,,PASCAL,VQZ6GACYCW9,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4050820171404054391,4050820171404058311,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201705079053507495
C00162818,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 98 COMMITTEE ON POLITICAL EDUCATION,2017,48,201701099041008592,24,1137547,PHOENIX DIGITAL IMAGING,,,,201 CLAYTON STREET,,CHESTER,PA,190131833,INDEP EXPEND: CLINTON BANNER,2016-05-24 00:00:00,2016-05-24 00:00:00,1254.00,1254.00,,,S,,,P00003392,"CLINTON, HILLARY RODHAM",,HILLARY,RODHAM,CLINTON,,P,,00,,,,,,,,P2016,,"BURROWS, BRIAN",2017-01-09 00:00:00,,,,,,BRIAN,,BURROWS,EEF4D74248D97405E9A2,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4010920171359607810,4010920171359613501,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201701099041008592
C00162818,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 98 COMMITTEE ON POLITICAL EDUCATION,2017,48,201701099041008592,24,1137547,AZTEC SIGNS & GRAPHICS,,,,5818 TORRESDALE AVENUE,,PHILADELPHIA,PA,191354113,INDEP EXPEND: 98 VOTES & HILLARY 2016 REPLACEMENT SIGNS,2016-10-05 00:00:00,2016-10-05 00:00:00,775.00,775.00,,,S,,,P00003392,"CLINTON, HILLARY RODHAM",,HILLARY,RODHAM,CLINTON,,P,,00,,,,,,,,G2016,,"BURROWS, BRIAN",2017-01-09 00:00:00,,,,,,BRIAN,,BURROWS,E3376297607D14D37B42,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4010920171359607810,4010920171359613503,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201701099041008592
C00162818,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 98 COMMITTEE ON POLITICAL EDUCATION,2017,48,201701099041008593,24,1137547,CLEAR CHANNEL OUTDOOR,,,,9130 STATE ROAD,,PHILADELPHIA,PA,191361618,INDEP EXPEND:  DIGITAL BULLETIN AD SUPPORTING HILLARY 2016,2016-10-12 00:00:00,2016-10-12 00:00:00,19740.00,20515.00,,,S,,,P00003392,"CLINTON, HILLARY RODHAM",,HILLARY,RODHAM,CLINTON,,P,,00,,,,,,,,G2016,,"BURROWS, BRIAN",2017-01-09 00:00:00,,,,,,BRIAN,,BURROWS,EBB12FC699AA04B888D6,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4010920171359607810,4010920171359613505,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201701099041008593
C00162818,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 98 COMMITTEE ON POLITICAL EDUCATION,2017,48,201701099041008609,24,1137549,AZTEC SIGNS & GRAPHICS,,,,5818 TORRESDALE AVENUE,,PHILADELPHIA,PA,191354113,INDEP EXPEND:  98 VOTES & HILLARY 2016 REPLACEMENT SIGNS,2016-10-19 00:00:00,2016-10-19 00:00:00,448.20,48433.20,,,S,,,P00003392,"CLINTON, HILLARY RODHAM",,HILLARY,RODHAM,CLINTON,,P,,00,,,,,,,,G2016,,"BURROWS, BRIAN",2017-01-09 00:00:00,,,,,,BRIAN,,BURROWS,E91018A3700C24EF7A06,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4010920171359607811,4010920171359613507,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201701099041008609
C00162818,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 98 COMMITTEE ON POLITICAL EDUCATION,2017,48,201701099041008609,24,1137549,"PRINT AND SEW, INC.",,,,10960 DUTTON ROAD,,PHILADELPHIA,PA,191543204,INDEP EXPEND: HILLARY GOTV SHIRTS,2016-10-19 00:00:00,2016-10-19 00:00:00,27470.00,48433.20,,,S,,,P00003392,"CLINTON, HILLARY RODHAM",,HILLARY,RODHAM,CLINTON,,P,,00,,,,,,,,G2016,,"BURROWS, BRIAN",2017-01-09 00:00:00,,,,,,BRIAN,,BURROWS,EA56C3E9AFAE7478295F,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4010920171359607811,4010920171359613509,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201701099041008609
C00162818,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 98 COMMITTEE ON POLITICAL EDUCATION,2017,24,201701099041008946,24,1137562,JAWORSKI SIGN COMPANY,,,,913-15 SOUTH MAIN STREET,,SCRANTON,PA,18054,SIGNS SUPPORTING HILLARY '16,2016-10-26 00:00:00,2016-10-26 00:00:00,1025.00,49458.20,,,O,,,P00003392,"CLINTON, HILLARY RODHAM",,HILLARY,RODHAM,CLINTON,,P,,00,,,,,,,,G2016,,"BURROWS, BRIAN",2017-01-09 00:00:00,,,,,,BRIAN,,BURROWS,E6EFE3FE0519D440FA35,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4010920171359607812,4010920171359613515,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201701099041008946
C00162818,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 98 COMMITTEE ON POLITICAL EDUCATION,2017,48,201701099041008963,24,1137565,THIRD BASE SPORTS & TROPHIES,,,,606 HOLLYWOOD AVE,,CHERRY HILL,NJ,080022821,BEACH TOWELS SUPPORTING HILLARY CLINTON FOR PRESIDENT,2016-11-01 00:00:00,2016-11-01 00:00:00,36380.00,97532.44,,,S,,,P00003392,"CLINTON, HILLARY RODHAM",,HILLARY,RODHAM,CLINTON,,P,,00,,,,,,,,G2016,,"BURROWS, BRIAN",2017-01-09 00:00:00,,,,,,BRIAN,,BURROWS,E5447A2FD5AC54C6E967,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4010920171359607813,4010920171359613517,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201701099041008963
C00162818,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 98 COMMITTEE ON POLITICAL EDUCATION,2017,48,201701099041008963,24,1137565,STRASSHEIM GRAPHIC & DESIGN PRESS CORP,,,,333 N 15TH ST,,PHILADELPHIA,PA,191021034,LAWN SIGNS SUPPORTING HILLARY CLINTON FOR PRESIDENT,2016-11-01 00:00:00,2016-11-01 00:00:00,2417.04,97532.44,,,S,,,P00003392,"CLINTON, HILLARY RODHAM",,HILLARY,RODHAM,CLINTON,,P,,00,,,,,,,,G2016,,"BURROWS, BRIAN",2017-01-09 00:00:00,,,,,,BRIAN,,BURROWS,E96B1C1C90938468BB61,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4010920171359607813,4010920171359613519,,,t,,,,SE,http://docquery.fec.gov/cgi-bin/fecimg/?201701099041008963
